,,,,TEXT,Annotator 1,,,,Annotator 2,,,,Annotator 3,,,,Annotator 4,,,,Annotator 5,,,,Rater 1,Rater 2,Rater 3,Rater 4,Rater 5,0,1,,Rater 1,Rater 2,Rater 3,Rater 4,Rater 5,0,1,1human / 0 machine,Zeitstempel,10.12.2023 21:27:18,10.12.2023 23:09:24,11.12.2023 11:16:50,11.12.2023 18:28:06,12.12.2023 18:39:14,13.12.2023 11:56:26
,,,,,TP,FP,FN,TN,TP,FP,FN,TN,TP,FP,FN,TN,TP,FP,FN,TN,TP,FP,FN,TN,,,,,,,,,,,,,,,,,Punkte,,,,,,
Tweet 1,sarcastic,,Tweet 1,@AvatarOdin @aubviouslynot sounds like the american dream ngl,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,5,1,,,,,,,,,How do you percieve the text above?,not sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic
,,manual,Tweet 1,@AvatarOdin @aubviouslynot sounds like the american dream ngl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by language model,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 2,not sarcastic,,Tweet 2,the hurricane has been completely underwhelming,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,3,2,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,sarcastic,not sarcastic,not sarcastic,sarcastic
,,manual,Tweet 2,the hurricane has been completely underwhelming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,4,1,"0,6",How was the text above created?,generated by language model,generated by language model,generated by language model,generated by language model,generated by language model,generated by human
Tweet 3,not sarcastic,,Tweet 3,"My new favorite thing to do while teaching this insect ecology course is to make a stupid mistake, like posting the wrong zoom link or uploading the wrong assignment, and then say""can you believe I almost have my PhD??"" to my students. They cannot, folks.",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,2,3,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,sarcastic,not sarcastic,sarcastic,not sarcastic,sarcastic
,,manual,Tweet 3,"My new favorite thing to do while teaching this insect ecology course is to make a stupid mistake, like posting the wrong zoom link or uploading the wrong assignment, and then say""can you believe I almost have my PhD??"" to my students. They cannot, folks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,4,"0,6",How was the text above created?,generated by language model,generated by human,generated by language model,generated by human,generated by human,generated by human
Tweet 4,sarcastic,,Tweet 4,Between Mikey cooking and Didi cooking for me I relaxing 😎  cooking?? I don’t know her,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,3,2,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,sarcastic,sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 4,Between Mikey cooking and Didi cooking for me I relaxing 😎  cooking?? I don’t know her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,3,2,"0,4",How was the text above created?,generated by language model,generated by human,generated by human,generated by language model,generated by language model,generated by language model
Tweet 5,sarcastic,,Tweet 5,“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,"0,6",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,sarcastic,not sarcastic,not sarcastic,not sarcastic
